reportdate,pruid,prename,prfname,series_type,primary_series,first_additional_vaccine,second_additional_vaccine,primary_series_completed
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Moderna Spikevax,273547
"July 17, 2022",1,Canada,Canada,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,1457105
"July 17, 2022",1,Canada,Canada,3,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,All other series,18
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,All other series,236
"July 17, 2022",1,Canada,Canada,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Not reported,1176335
"July 17, 2022",1,Canada,Canada,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,5269840
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Moderna Spikevax,403161
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Pfizer-BioNTech Comirnaty,290014
"July 17, 2022",1,Canada,Canada,3,Pfizer-BioNTech Comirnaty,Moderna Spikevax,All other series,1
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,All other series,132
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Not reported,146398
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Have not received a 2nd additional dose,2556841
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,All other series,Moderna Spikevax,42
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,All other series,Pfizer-BioNTech Comirnaty,251
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,All other series,All other series,15
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,All other series,Not reported,157
"July 17, 2022",1,Canada,Canada,3,Pfizer-BioNTech Comirnaty,All other series,Not reported,11
"July 17, 2022",1,Canada,Canada,2,Pfizer-BioNTech Comirnaty,All other series,Have not received a 2nd additional dose,1117
"July 17, 2022",1,Canada,Canada,3,Pfizer-BioNTech Comirnaty,All other series,Have not received a 2nd additional dose,65
"July 17, 2022",1,Canada,Canada,1,Pfizer-BioNTech Comirnaty,All other series,Have not received a 2nd additional dose,107
"July 17, 2022",1,Canada,Canada,1,Pfizer-BioNTech Comirnaty,Have not received an additional dose,Have not received a 2nd additional dose,7821834
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,29424
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,94003
